country,y,x,technology,capacity,unit,quality,company ,location,start year,Latest renovation year,Source,Comments
MA,,,Industry Steel Primary Blast Furnace Open Hearth Furnace,0,Kt/yr,actual,,,,,Tracker Map - Global Energy Monitor,
MA,,,Industry Steel Primary Blast Furnace Basic Oxygen Furnace,0,Kt/yr,actual,,,,,Tracker Map - Global Energy Monitor,
MA,,,Industry Steel Primary DRI,0,Kt/yr,actual,,,,,Tracker Map - Global Energy Monitor,
MA,33.592793,-7.475613,Industry Steel Secondary EAF,1000,Kt/yr,actual,Mahgreb Steel Casablanca Plant,Ahl Moughlam Tit Mellil,1975,,Tracker Map - Global Energy Monitor,
MA,33.136529,-8.603555,Industry Steel Secondary EAF,800,Kt/yr,actual,ArcelorMittal Sonasid Casablanca steel plant,El Jadida Jorf Lasfar,2002,,Tracker Map - Global Energy Monitor,
MA,33.603593,-7.640174,Industry Steel Secondary EAF,800,Kt/yr,actual,Riva Industries Jorf Lasfar steel plant,Casablanca,2015,,Tracker Map - Global Energy Monitor,
MA,,,Industry Chemical Ammonia SMR,0,Kt/yr,estimated ,,,,,,
MA,33.974893,-6.897091,Industry Chemical Ammonia Renewable,183,Kt/yr,actual,Heva Ammonia Project,Rabat,Proposed,,183000 tonnes per year green ammonia in Morocco – Ammonia Energy Association,
MA,,,Industry Chemical Ammonia Other conventional,0,Kt/yr,estimated ,,,,,,
MA,33.702620,-7.372259,Industry Chemical HVC - Naphtha,125000,B/d,actual,Société Anonyme Marocaine de l’Industriele Raffinage (Samir),Port of Mohammedia,1959,,https://mbendi.co.za/cymooi.htm Samir (Moroccan company) - Wikipedia the free encyclopedia,
MA,34.234656,-5.712174,Industry Chemical HVC - Naphtha,25000,B/d,actual,Société Chérifiennedes Pétroles (SCP),Sidi Kacem,1929,,THE CHERIFIAN OIL COMPANY COVERS A SIGNIFICANT PART OF MOROCCO'S NEEDS (lemonde.fr),
MA,,,Industry Chemical HVC - LPG,0,Kt/yr,estimated ,,,,,,
MA,,,Industry Chemical HVC - Methanol,0,Kt/yr,estimated ,,,,,,
MA,30.218836,-9.157324,Industry NMM Cement,2200,Kt/yr,actual,Ciments du Maroc SA,Chtouka-Aït Baha,1951,,Cement Plants located in Morocco (cemnet.com),
MA,31.585034,-8.502796,Industry NMM Cement,1400,Kt/yr,actual,Ciments du Maroc SA,Mzoudia,1999,,Our History| Cements from Morocco (cimentsdumaroc.com) https://www.cemnet.com/global-cement-report/country/morocco,
MA,32.550023,-9.100110,Industry NMM Cement,1000,Kt/yr,actual,Ciments du Maroc SA,Safi,1992,2014,Marrakech factory| Cements from Morocco (cimentsdumaroc.com),Usine de Safi | Ciments du Maroc
MA,32.584623,-6.148034,Industry NMM Cement,1600,Kt/yr,actual,Ciments de l'Atlas (CIMAT),Beni Mellal,2011,2005,Cimat - NOS SITES,
MA,32.990162,-7.145939,Industry NMM Cement,1600,Kt/yr,actual,Ciments de l'Atlas (CIMAT),Ben Ahmed,2010,,Cimat - NOS SITES,
MA,33.054240,-7.533158,Industry NMM Cement,1700,Kt/yr,actual,LafargeHolcim Maroc,Settat,2005,,Morocco’s Settat cement plant ranked as second most efficient in LafargeHolcim Group - Cement industry news from Global Cement https://www.archyde.com/lafargeholcim-morocco-settat-cement-plant-stands-out-on-a-global-scale/,
MA,33.368650,-7.748368,Industry NMM Cement,3000,Kt/yr,actual,LafargeHolcim Maroc,Bouskoura,1997,,Communiqué de presse Lafarge / Lafarge press release (holcim.com),
MA,33.891323,-6.946778,Industry NMM Cement,1200,Kt/yr,actual,Asment de Temara SA,Temara,1976,2009,Company Votorantim Cimentos Morocco History,
MA,33.909977,-5.495519,Industry NMM Cement,1800,Kt/yr,actual,LafargeHolcim Maroc,Meknes,1953,,GID cement database,
MA,33.944215,-5.117161,Industry NMM Cement,1900,Kt/yr,actual,LafargeHolcim Maroc,Fes,1993,,GID cement database,
MA,34.593260,-2.349346,Industry NMM Cement,1300,Kt/yr,actual,LafargeHolcim Maroc,Oujda,1978,,GID cement database,
MA,36.602102,-5.431190,Industry NMM Cement,2500,Kt/yr,actual,LafargeHolcim Maroc,Tétouan,2004,,GID cement database,
MA,27.093082,-13.133753,Industry NMM Cement,500,Kt/yr,actual,LafargeHolcim Maroc,Laâyoune,2010,,Our History| Cements from Morocco (cimentsdumaroc.com),
MA,27.180683,-13.394904,Industry NMM Cement,500,Kt/yr,actual,Atlantic Ciment,Laâyoune,2017,,anouar-undated.pdf (wsrw.org),
MA,27.896842,-12.893876,Industry NMM Cement,300,Kt/yr,actual,Cemos Ciment S.A.,Tarfaya,2018,,CEMOS CIMENT S.A | Society,
MA,33.157731,-8.605763,Industry NMM Cement,450,Kt/yr,actual,Ciments du Maroc SA,El Jadida,2014,,Jorf Lasfar shredding centre | Cements from Morocco (cimentsdumaroc.com),
MA,35.656333,-5.915386,Industry NMM Cement,500,Kt/yr,actual,LafargeHolcim Maroc,Tangier,2006,,,
MA,,,Industry Paper and pulp Pulp Primary,61.71,Kt/yr,actual,,,,,FAO2019.Paper.pdf (paperonweb.com),
MA,,,Industry Paper and pulp Pulp Secondary,125.29,Kt/yr,actual,,,,,FAO2019.Paper.pdf (paperonweb.com),
MA,33.581499,-7.633875,Industry Paper and pulp Paper,113,Kt/yr,estimated ,CHIMIEPACK,Casablanca,,,FAO2019.Paper.pdf (paperonweb.com),We are assuming paper production integrates pulp production The total production of pulp and paper is 156 Kt/yr for Morocco which is divided into 5 top revenue earning companies respect to their revenues percentages.
MA,34.276805,-6.562656,Industry Paper and pulp Paper,19,Kt/yr,estimated ,CMCP INTERNATIONAL PAPER,Kenitra,,,,
MA,30.391987,-9.524375,Industry Paper and pulp Paper,19,Kt/yr,estimated ,CMCP INTERNATIONAL PAPER,Agadir,,,,
MA,35.739585,-5.773690,Industry Paper and pulp Paper,3,Kt/yr,estimated ,ERUM MAROC,Tangier,,,,
MA,33.513271,-7.632002,Industry Paper and pulp Paper,2,Kt/yr,estimated ,DISTRIBUTION CASABLANCAISE DE PAPIER,Tit Mellil,,,,
MA,32.775272,-6.793229,Industry Mining (Phosphate) ,13567,Kt,estimated ,OCP,Khouribga,1921,,Morocco’s New Challenges as a Gatekeeper of the World’s Food Supply: The Geopolitics Economics and Sustainability of OCP’s Global Fertilizer Exports | Middle East Institute (mei.edu),
MA,32.241479,-8.501528,Industry Mining (Phosphate) ,13567,Kt,estimated ,OCP,Youssoufia,1931,,Morocco’s New Challenges as a Gatekeeper of the World’s Food Supply: The Geopolitics Economics and Sustainability of OCP’s Global Fertilizer Exports | Middle East Institute (mei.edu),
MA,32.275337,-7.833770,Industry Mining (Phosphate) ,13567,Kt,estimated ,OCP,Benguerir,1976,,Morocco’s New Challenges as a Gatekeeper of the World’s Food Supply: The Geopolitics Economics and Sustainability of OCP’s Global Fertilizer Exports | Middle East Institute (mei.edu),
MA,,,Industry Textile and Leather,,,unavailable ,,,,,,
MA,,,Industry Wood ,11000,m3,unavailable ,,,,,Morocco: production of lumber | Statista,
