country,x,y,technology,capacity,unit,quality,company,location,start year,Latest renovation year,Source,Comments
BR,-38.858932,-3.585917,Industry Steel Primary Blast Furnace Route,3000,Kt/yr,actual,CSP Pecém steel plant,São Gonçalo do Amarante,2016,,Tracker Map - Global Energy Monitor,Production capacity of Iron 3.000 Kt/yr
BR,-47.4073517,-4.874373,Industry Steel Primary Blast Furnace Route,600,Kt/yr,actual,AVB Açailândia steel plant,Açailândia,2015,,Tracker Map - Global Energy Monitor,Production capacity of Iron 600 Kt/yr
BR,-46.376294,-23.863092,Industry Steel Primary Blast Furnace Route,4500,Kt/yr,actual,Usiminas Cubatão steel plant,Cubatão- Sau paulo,1963,,Tracker Map - Global Energy Monitor,Production capacity of Iron 2.000 Kt/yr
BR,-44.11287,-22.512631,Industry Steel Primary Blast Furnace Route,6250,Kt/yr,actual,CSN Volta Redonda steel plant,Rio de Janeiro,1946,,Tracker Map - Global Energy Monitor,Production capacity of Iron 5.380 Kt/yr
BR,-43.741614,-22.912549,Industry Steel Primary Blast Furnace Route,5000,Kt/yr,actual,Ternium Brasil Santa Cruz steel plant,Rio de Janeiro,2010,,Tracker Map - Global Energy Monitor,Production capacity of Iron 5.300 Kt/yr
BR,-43.462361,-21.626963,Industry Steel Primary Blast Furnace Route,1100,Kt/yr,actual,ArcelorMittal Juiz de Fora steel plant,Juiz de Fora- MG,1984,,Tracker Map - Global Energy Monitor,Production capacity of Iron 360 Kt/yr
BR,-44.875246,-20.152084,Industry Steel Primary Blast Furnace Route,600,Kt/yr,actual,Gerdau Divinópolis steel plant,Divinópolis- MG,1953,,Tracker Map - Global Energy Monitor,Production capacity of Iron 430 Kt/yr
BR,-43.971555,-20.582683,Industry Steel Primary Blast Furnace Route,1000,Kt/yr,actual,Vallourec Jeceaba steel plant,Jeceaba- Minas Gerais,2011,,Tracker Map - Global Energy Monitor,Production capacity of Iron 350 Kt/yr
BR,-43.75295,-20.543507,Industry Steel Primary Blast Furnace Route,4500,Kt/yr,actual,Gerdau Açominas Ouro Branco steel plant,Ouro Branco,1986,,Tracker Map - Global Energy Monitor,Production capacity of Iron 4.100 Kt/yr
BR,-43.130164,-19.832129,Industry Steel Primary Blast Furnace Route,1200,Kt/yr,actual,ArcelorMittal Monlevade steel plant,João Monlevade- MG,1937,,Tracker Map - Global Energy Monitor,Production capacity of Iron 1.040 Kt/yr
